title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
Dick Johnson Is Dead,2020,Documentaries,90 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,"Documentaries, International Movies",67 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Tayo and Little Wizards,2020,Kids' TV,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Bread Barbershop,2020,"Kids' TV, TV Comedies",2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Smart Money Woman,2020,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,South Africa,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Defeated,2020,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Omo Ghetto: the Saga,2020,"Action & Adventure, Comedies, Dramas",147 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Big Timber,2020,"International TV Shows, Reality TV",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Tughlaq Durbar,2020,"Comedies, Dramas, International Movies",145 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Sam Smith: Love Goes - Live at Abbey Road Studios,2020,"International Movies, Music & Musicals",61 min,Pakistan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Miniforce: Super Dino Power,2020,Kids' TV,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Shadow Parties,2020,"Dramas, International Movies, Thrillers",117 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Here and There,2020,"Dramas, International Movies, Romantic Movies",99 min,Philippines,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Shikara,2020,"Dramas, International Movies, Romantic Movies",115 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Glimpses of a Future,2020,"Docuseries, International TV Shows",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Korean Pork Belly Rhapsody,2020,"Docuseries, International TV Shows",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Running Man,2020,"Kids' TV, TV Comedies",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Best of Stand-Up 2020,2020,Stand-Up Comedy,77 min,Pakistan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Transformers: War for Cybertron: Earthrise,2020,Anime Series,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Manhunt: Deadly Games,2020,"Crime TV Shows, TV Dramas, TV Mysteries",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Great British Baking Show: Holidays,2020,"British TV Shows, Reality TV",3 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,2020,Documentaries,15 min,Pakistan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Kongsuni and Friends,2020,"Kids' TV, Korean TV Shows",2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Find Yourself,2020,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Mighty Little Bheem,2020,"Kids' TV, TV Comedies",3 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Fukrey Boyzzz,2020,"Kids' TV, TV Comedies",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Transformers: Cyberverse,2020,Kids' TV,2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Witcher: A Look Inside the Episodes,2020,"Docuseries, TV Sci-Fi & Fantasy",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Street Food: Latin America,2020,"Docuseries, Spanish-Language TV Shows",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Little Singham: Legend of Dugabakka,2020,"Children & Family Movies, Comedies",68 min,Pakistan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Dating Around,2020,"Reality TV, Romantic TV Shows",2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Especial 20 años Fútbol de Primera,2020,"Docuseries, International TV Shows, Spanish-Language TV Shows",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Hoarders,2020,Reality TV,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Circle France,2020,"International TV Shows, Reality TV",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Wassup Man GO!,2020,"International TV Shows, Korean TV Shows, Reality TV",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Barbie Dreamhouse Adventures: Go Team Roberts,2020,Kids' TV,2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Archibald's Next Big Thing,2020,"Kids' TV, TV Comedies",2 Seasons,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Calico Critters Mini Episodes Clover,2020,Kids' TV,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Passion. Panache. Pep,2020,"International TV Shows, Reality TV",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Really Love,2020,"Dramas, Independent Movies, Romantic Movies",95 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
My Holo Love,2020,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Rise of Empires: Ottoman,2020,Docuseries,1 Season,Pakistan,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Old Ways,2020,Horror Movies,90 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Unroyal,2020,"Dramas, International Movies",97 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
A Faraway Land,2020,"Dramas, International Movies, Romantic Movies",102 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Out of my league,2020,"Comedies, Dramas, International Movies",92 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Nneka The Pretty Serpent,2020,"Dramas, International Movies",140 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
La diosa del asfalto,2020,"Dramas, Independent Movies, International Movies",127 min,Mexico,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Quam's Money,2020,"Comedies, Dramas, International Movies",115 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
I'm Glad I Did,2020,"Documentaries, International Movies",114 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Sanitation Day,2020,"Dramas, International Movies, Thrillers",105 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Milkwater,2020,"Comedies, Dramas, Independent Movies",102 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
2 Weeks in Lagos,2020,"Dramas, International Movies, Romantic Movies",107 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Born to Play,2020,"Documentaries, Sports Movies",93 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
