title,year,certificate,duration,genre,rating
Cobra Kai,2018,TV-14,30 min,"Action, Comedy, Drama",8.5
The Crown,2016,TV-MA,58 min,"Biography, Drama, History",8.7
Better Call Saul,2015,TV-MA,46 min,"Crime, Drama",8.9
Devil in Ohio,2022,TV-MA,356 min,"Drama, Horror, Mystery",5.9
Cyberpunk: Edgerunners,2022,TV-MA,24 min,"Animation, Action, Adventure",8.6
The Sandman,2022,TV-MA,45 min,"Drama, Fantasy, Horror",7.8
Rick and Morty,2013,TV-MA,23 min,"Animation, Adventure, Comedy",9.2
Breaking Bad,2008,TV-MA,49 min,"Crime, Drama, Thriller",9.5
The Imperfects,2022,TV-MA,45 min,"Action, Adventure, Drama",6.3
Blonde,2022,NC-17,166 min,"Biography, Drama, Mystery",6.2
Stranger Things,2016,TV-14,51 min,"Drama, Fantasy, Horror",8.7
End of the Road,2022,R,89 min,"Action, Crime, Drama",4.7
The Walking Dead,2010,TV-MA,44 min,"Drama, Horror, Thriller",8.1
Glass Onion: A Knives Out Mystery,2022,PG-13,139 min,"Crime, Drama, Mystery",8.1
Do Revenge,2022,TV-MA,118 min,Comedy,6.4
I Came By,2022,TV-MA,110 min,Thriller,6.1
No Limit,2022,TV-MA,118 min,"Drama, Romance, Sport",5.8
1899,2022,,60 min,"Drama, History, Horror",9.6
Peaky Blinders,2013,TV-MA,60 min,"Crime, Drama",8.8
Fate: The Winx Saga,2021,TV-MA,,"Action, Adventure, Drama",6.9
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8
Grey's Anatomy,2005,TV-14,41 min,"Drama, Romance",7.6
Supernatural,2005,TV-14,44 min,"Drama, Fantasy, Horror",8.4
American Horror Story,2011,TV-MA,60 min,"Drama, Horror, Sci-Fi",8
The Accidental Narco,2022,TV-MA,50 min,"Action, Biography, Crime",7.4
NCIS,2003,TV-14,60 min,"Action, Crime, Drama",7.8
Friends,1994,TV-14,22 min,"Comedy, Romance",8.9
Shameless,2011,TV-MA,46 min,"Comedy, Drama",8.6
Modern Family,2009,TV-PG,22 min,"Comedy, Drama, Romance",8.5
Ozark,2017,TV-MA,60 min,"Crime, Drama, Thriller",8.5
Echoes,2022,TV-MA,326 min,"Drama, Mystery, Thriller",5.9
The Gray Man,2022,PG-13,122 min,"Action, Thriller",6.5
Me Time,2022,R,101 min,Comedy,5
Suits,2011,TV-14,44 min,"Comedy, Drama",8.5
Vikings,2013,TV-MA,44 min,"Action, Adventure, Drama",8.5
The Witcher,2019,TV-MA,60 min,"Action, Adventure, Drama",8.2
The Blacklist,2013,TV-14,43 min,"Crime, Drama, Mystery",8
Seinfeld,1989,TV-PG,22 min,Comedy,8.9
Lucifer,2016,TV-14,42 min,"Crime, Drama, Fantasy",8.1
The Umbrella Academy,2019,TV-14,60 min,"Action, Adventure, Comedy",7.9
The Last Kingdom,2015,TV-MA,60 min,"Action, Drama, History",8.5
Partner Track,2022,TV-MA,60 min,Drama,6.8
Love in the Villa,2022,TV-14,114 min,"Comedy, Romance",5.3
Black Mirror,2011,TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8
Brooklyn Nine-Nine,2013,TV-14,22 min,"Comedy, Crime",8.4
Squid Game,2021,TV-MA,55 min,"Action, Drama, Mystery",8
Gilmore Girls,2000,TV-PG,44 min,"Comedy, Drama",8.2
Outlander,2014,TV-MA,60 min,"Drama, Fantasy, Romance",8.4
